brand,action,id,model,page,summary
KSB,MODIFIED,ksb_agri_bpha_333_2c_uma_150_8_pump_6_motor_combination_mixed_flow_p44,"BPHA 333 2C + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_2e_uma_150_8_pump_6_motor_combination_mixed_flow_p44,"BPHA 333 2E + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_2e_uma_150_8_pump_6_motor_combination_mixed_flow_p44_2,"BPHA 333 2E + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_3c_hbc_small_mixed_flow_p45,BPHA 333 3C + HBC (SMALL) (Mixed flow),45,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_3c_uma_150_8_pump_6_motor_combination_mixed_flow_p44,"BPHA 333 3C + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_4c_hbc_small_mixed_flow_p45,BPHA 333 4C + HBC (SMALL) (Mixed flow),45,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_4f_hbc_small_mixed_flow_p45_2,BPHA 333 4F + HBC (SMALL) (Mixed flow),45,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_5f_hbc_small_mixed_flow_p45_3,BPHA 333 5F + HBC (SMALL) (Mixed flow),45,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_333_6c_hbc_small_mixed_flow_p45,BPHA 333 6C + HBC (SMALL) (Mixed flow),45,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_373_1a_uma_150_8_pump_6_motor_mixed_flow_p46,"BPHA 373 1A + UMA 150 (8"" Pump + 6"" Motor - Mixed flow)",46,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_373_1b_uma_150_8_pump_6_motor_mixed_flow_p46,"BPHA 373 1B + UMA 150 (8"" Pump + 6"" Motor - Mixed flow)",46,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_373_1d_uma_150_8_pump_6_motor_mixed_flow_p46,"BPHA 373 1D + UMA 150 (8"" Pump + 6"" Motor - Mixed flow)",46,"Updated curve, selectable, dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_05d_hbcn_big_mixed_flow_p49,BPHA 384 05D + HBCN (BIG) (Mixed flow),49,"Updated dataStatus, dataNote"
KSB,MODIFIED,ksb_agri_bpha_384_06d_hbcn_big_mixed_flow_p49,BPHA 384 06D + HBCN (BIG) (Mixed flow),49,"Updated dataStatus, dataNote"
